,accuracy,precision,recall,f1_score,bal accuracy,f2_score
l27b-meta_b1,0.7866082603254068,0.7784305538760126,0.7866082603254068,0.7824663167906515,0.49012265512265507,0.7849390960927729
l27b-meta_b2,0.6455854727614276,0.7599279842827248,0.6455854727614276,0.6952503512487374,0.4336421319796954,0.6634904556478505
l27b-meta_b1_2,0.7596996245306633,0.7770433773098395,0.7596996245306633,0.7681472317966199,0.4856060606060606,0.7630222351233277
l27b-meta_b2_2,0.5597996242955542,0.7583717493786492,0.5597996242955542,0.6343588858579978,0.4326939811457578,0.5832378384523699
l27b-meta_b1sys,0.7596996245306633,0.7724702454148993,0.7596996245306633,0.7659761054283954,0.4747655122655122,0.7621832907015256
l27b-meta_b2sys,0.604257983719474,0.7621366768845381,0.6042579837194739,0.6677760347494271,0.4406036983321247,0.6255767987700501
l27b-meta_b1_2sys,0.6921151439299124,0.7714869632562704,0.6921151439299124,0.7276206818245331,0.4687157287157287,0.7051852782478216
