model,prompt,Accuracy,Precision,Recall,TPR,TNR,$F_{1}$,$F_{2}$,BAC,auROC
mist-noreply-nameless,text,0.6414,0.0732,0.1608,0.1608,0.7099,0.1006,0.1298,0.4353,0.4353
mist-noreply-nameless,cg,0.6696,0.2276,0.6884,0.6884,0.6669,0.3421,0.49,0.6777,0.6777
