model,prompt,Accuracy,Precision,Recall,TPR,TNR,$F_{1}$,$F_{2}$,BAC,auROC
flanxl-noreply,text,0.8583,0.186,0.0408,0.0408,0.9746,0.0669,0.0484,0.5077,0.5077
flanxl-noreply,pdc2,0.8545,0.3922,0.3061,0.3061,0.9325,0.3438,0.3202,0.6193,0.6193
flanxl-noreply,cg,0.7973,0.297,0.4592,0.4592,0.8454,0.3607,0.414,0.6523,0.6523
flanxl-noreply,textfew,0.8748,0.3333,0.0051,0.0051,0.9985,0.0101,0.0064,0.5018,0.5018
flanxl-noreply,pdcfew,0.8463,0.3231,0.2143,0.2143,0.9361,0.2577,0.2298,0.5752,0.5752
flanxl-noreply,cgfew,0.7948,0.251,0.3265,0.3265,0.8614,0.2838,0.308,0.594,0.594
