model,prompt,Accuracy,Precision,TPR,TNR,$F_{1}$,$F_{2}$,BAC
,,0.7468,0.2873,0.6543,0.7605,0.3992,0.5211,0.7074
,,0.8714,0.0,0.0,1.0,0.0,0.0,0.5
,,0.4976,0.1291,0.5062,0.4964,0.2058,0.3196,0.5013
,,0.7651,0.2919,0.5802,0.7923,0.3884,0.4845,0.6863
Mistral,Base,0.7825,0.1782,0.1914,0.8698,0.1845,0.1886,0.5306
Mistral,SensCat+SensDesc+FS,0.823,0.362,0.4938,0.8716,0.4178,0.4603,0.6827
