,accuracy,precision,recall,f1_score,bal accuracy,f2_score
l213B-GPTQ_b1,0.7023451593505713,0.7673973524230994,0.7023451593505713,0.7321535137795508,0.46318067671160457,0.7135477236412423
l213B-GPTQ_b2,0.6103427540589297,0.7739592026247055,0.6103427540589297,0.6732219494166732,0.48065027755749407,0.6302180508305132
l213B-GPTQ_b1_2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.3333333333333333
l213B-GPTQ_b2_2,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.16666666666666666,0.5,0.2380952380952381
