,accuracy,f1_score,balanced accuracy
l27B-GPTQ_b1,0.7302158273381295,0.7495768518357225,0.47278055848261324
l27B-GPTQ_b2,0.5925704014379868,0.6583993108533256,0.45103462906752834
l27B-GPTQ_b3,0.21783363255535607,0.21642741523240677,0.4996968808057104
