,accuracy,precision,recall,f1_score,bal accuracy,f2_score
l213b-8bit_base_sens,0.6651842439644219,0.7765097428667997,0.6651842439644219,0.7119414933655325,0.4849308373567134,0.6813844562387832
l213b-8bit_base2_sens,0.764294790343075,0.7648092836087911,0.764294790343075,0.7645518920296729,0.46057210983086994,0.7643975962003535
l213b-8bit_context_b1_sens,0.6308767471410419,0.7725259846522368,0.6308767471410419,0.6878650603280004,0.47408992624626045,0.6498253595562629
l213b-8bit_context_b2_sens,0.764294790343075,0.7668425622783542,0.764294790343075,0.7655648805038601,0.4649484612422618,0.7648019108533346
l213b-8bit_base_personal,0.8284625158831004,0.797336190289083,0.8284625158831004,0.8113481944037569,0.5278538846598146,0.821318389644885
l213b-8bit_context_b1_personal,0.8132147395171537,0.7873151402054659,0.8132147395171537,0.7995091828269116,0.5103929089778146,0.8075746028846568
l213b-8bit_fixed_fewshot_personal,0.23761118170266837,0.8181362129100355,0.23761118170266837,0.24405954277254446,0.5251991943366606,0.2015282471924419
l213b-8bit_base_personal_explanation,0.8526048284625158,0.8015222430992999,0.8526048284625158,0.8209174775852146,0.5241365777080063,0.8390804235623277
l213b-8bit_purely_personal,0.7083862770012707,0.802904316584251,0.7083862770012707,0.7469328933012361,0.557744142649803,0.7211948560166809
